[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-01-24 23:23:44] n=2: 12399 below min->0, 0 above max->1, total=163746 (range=[0.6667, 1.0000]).
[2026-01-24 23:23:44] n=3: 6607 below min->0, 0 above max->1, total=103105 (range=[0.5333, 1.0000]).
[2026-01-24 23:23:44] n=4: 3623 below min->0, 0 above max->1, total=82180 (range=[0.4571, 1.0000]).
[2026-01-24 23:23:44] n=5: 2256 below min->0, 0 above max->1, total=64821 (range=[0.4063, 1.0000]).
[2026-01-24 23:23:44] n=6: 1473 below min->0, 0 above max->1, total=57262 (range=[0.3694, 1.0000]).
[2026-01-24 23:23:44] n=7: 1002 below min->0, 0 above max->1, total=50789 (range=[0.3410, 1.0000]).
[2026-01-24 23:23:44] n=8: 694 below min->0, 0 above max->1, total=46607 (range=[0.3183, 1.0000]).
[2026-01-24 23:23:44] n=9: 450 below min->0, 0 above max->1, total=43737 (range=[0.2995, 1.0000]).
[2026-01-24 23:23:44] n=10: 399 below min->0, 0 above max->1, total=42074 (range=[0.2838, 1.0000]).
[2026-01-24 23:23:44] n=11: 272 below min->0, 0 above max->1, total=39994 (range=[0.2703, 1.0000]).
[2026-01-24 23:23:44] n=12: 219 below min->0, 0 above max->1, total=38708 (range=[0.2585, 1.0000]).
[2026-01-24 23:23:44] n=13: 159 below min->0, 0 above max->1, total=37265 (range=[0.2482, 1.0000]).
[2026-01-24 23:23:44] n=14: 136 below min->0, 0 above max->1, total=36608 (range=[0.2390, 1.0000]).
[2026-01-24 23:23:44] n=15: 114 below min->0, 0 above max->1, total=35956 (range=[0.2307, 1.0000]).
[2026-01-24 23:23:44] n=16: 66 below min->0, 0 above max->1, total=34961 (range=[0.2233, 1.0000]).
[2026-01-24 23:23:44] n=17: 49 below min->0, 0 above max->1, total=34288 (range=[0.2165, 1.0000]).
[2026-01-24 23:23:44] n=18: 48 below min->0, 0 above max->1, total=34013 (range=[0.2103, 1.0000]).
[2026-01-24 23:23:44] n=19: 26 below min->0, 0 above max->1, total=33003 (range=[0.2047, 1.0000]).
[2026-01-24 23:23:44] n=20: 28 below min->0, 0 above max->1, total=33422 (range=[0.1994, 1.0000]).
[2026-01-24 23:23:44] n=21: 25 below min->0, 0 above max->1, total=32493 (range=[0.1945, 1.0000]).
[2026-01-24 23:23:44] n=22: 21 below min->0, 0 above max->1, total=32916 (range=[0.1900, 1.0000]).
[2026-01-24 23:23:44] n=23: 20 below min->0, 0 above max->1, total=32215 (range=[0.1858, 1.0000]).
[2026-01-24 23:23:44] n=24: 18 below min->0, 0 above max->1, total=32399 (range=[0.1818, 1.0000]).
[2026-01-24 23:23:44] n=25: 10 below min->0, 0 above max->1, total=32248 (range=[0.1781, 1.0000]).
[2026-01-24 23:23:44] n=26: 8 below min->0, 0 above max->1, total=32207 (range=[0.1746, 1.0000]).
[2026-01-24 23:23:44] n=27: 7 below min->0, 0 above max->1, total=32078 (range=[0.1713, 1.0000]).
[2026-01-24 23:23:44] n=28: 5 below min->0, 0 above max->1, total=32018 (range=[0.1682, 1.0000]).
[2026-01-24 23:23:44] n=29: 9 below min->0, 0 above max->1, total=32048 (range=[0.1653, 1.0000]).
[2026-01-24 23:23:44] n=30: 3 below min->0, 0 above max->1, total=32063 (range=[0.1625, 1.0000]).
[2026-01-24 23:23:44] n=31: 2 below min->0, 0 above max->1, total=32430 (range=[0.1598, 1.0000]).
[2026-01-24 23:23:44] n=32: 5 below min->0, 0 above max->1, total=32060 (range=[0.1573, 1.0000]).
[2026-01-24 23:23:44] n=33: 3 below min->0, 0 above max->1, total=32004 (range=[0.1549, 1.0000]).
[2026-01-24 23:23:44] n=34: 2 below min->0, 0 above max->1, total=32572 (range=[0.1525, 1.0000]).
[2026-01-24 23:23:44] n=35: 5 below min->0, 0 above max->1, total=32404 (range=[0.1503, 1.0000]).
[2026-01-24 23:23:44] n=36: 3 below min->0, 0 above max->1, total=32776 (range=[0.1482, 1.0000]).
[2026-01-24 23:23:44] n=37: 4 below min->0, 0 above max->1, total=32946 (range=[0.1462, 1.0000]).
[2026-01-24 23:23:44] n=38: 3 below min->0, 0 above max->1, total=33131 (range=[0.1442, 1.0000]).
[2026-01-24 23:23:44] n=39: 3 below min->0, 0 above max->1, total=33202 (range=[0.1424, 1.0000]).
[2026-01-24 23:23:44] n=40: 3 below min->0, 0 above max->1, total=33580 (range=[0.1406, 1.0000]).
[2026-01-24 23:23:44] n=41: 2 below min->0, 0 above max->1, total=33024 (range=[0.1388, 1.0000]).
[2026-01-24 23:23:44] n=42: 3 below min->0, 0 above max->1, total=33368 (range=[0.1372, 1.0000]).
[2026-01-24 23:23:44] n=43: 2 below min->0, 0 above max->1, total=33563 (range=[0.1355, 1.0000]).
[2026-01-24 23:23:44] n=44: 1 below min->0, 0 above max->1, total=33825 (range=[0.1340, 1.0000]).
[2026-01-24 23:23:44] n=47: 2 below min->0, 0 above max->1, total=34039 (range=[0.1296, 1.0000]).
[2026-01-24 23:23:44] n=48: 6 below min->0, 0 above max->1, total=34690 (range=[0.1282, 1.0000]).
[2026-01-24 23:23:44] n=49: 5 below min->0, 0 above max->1, total=34311 (range=[0.1269, 1.0000]).
[2026-01-24 23:23:44] n=50: 6 below min->0, 0 above max->1, total=34408 (range=[0.1256, 1.0000]).
[2026-01-24 23:23:44] n=51: 2 below min->0, 0 above max->1, total=34893 (range=[0.1244, 1.0000]).
[2026-01-24 23:23:44] n=52: 3 below min->0, 0 above max->1, total=35129 (range=[0.1232, 1.0000]).
[2026-01-24 23:23:44] n=53: 3 below min->0, 0 above max->1, total=34925 (range=[0.1220, 1.0000]).
[2026-01-24 23:23:44] n=54: 5 below min->0, 0 above max->1, total=35411 (range=[0.1209, 1.0000]).
[2026-01-24 23:23:44] n=55: 2 below min->0, 0 above max->1, total=35664 (range=[0.1198, 1.0000]).
[2026-01-24 23:23:44] n=56: 7 below min->0, 0 above max->1, total=35765 (range=[0.1187, 1.0000]).
[2026-01-24 23:23:44] n=57: 6 below min->0, 0 above max->1, total=35574 (range=[0.1176, 1.0000]).
[2026-01-24 23:23:44] n=58: 5 below min->0, 0 above max->1, total=36115 (range=[0.1166, 1.0000]).
[2026-01-24 23:23:44] n=59: 4 below min->0, 0 above max->1, total=36590 (range=[0.1156, 1.0000]).
[2026-01-24 23:23:44] n=60: 4 below min->0, 0 above max->1, total=36242 (range=[0.1147, 1.0000]).
[2026-01-24 23:23:44] n=61: 7 below min->0, 0 above max->1, total=36133 (range=[0.1137, 1.0000]).
[2026-01-24 23:23:44] n=62: 2 below min->0, 0 above max->1, total=36676 (range=[0.1128, 1.0000]).
[2026-01-24 23:23:44] n=63: 6 below min->0, 0 above max->1, total=36713 (range=[0.1119, 1.0000]).
[2026-01-24 23:23:44] n=64: 4 below min->0, 0 above max->1, total=36829 (range=[0.1110, 1.0000]).
[2026-01-24 23:23:44] n=65: 2 below min->0, 0 above max->1, total=36574 (range=[0.1101, 1.0000]).
[2026-01-24 23:23:44] n=66: 7 below min->0, 0 above max->1, total=36910 (range=[0.1093, 1.0000]).
[2026-01-24 23:23:44] n=67: 9 below min->0, 0 above max->1, total=36773 (range=[0.1085, 1.0000]).
[2026-01-24 23:23:44] n=68: 5 below min->0, 0 above max->1, total=36761 (range=[0.1077, 1.0000]).
[2026-01-24 23:23:44] n=69: 7 below min->0, 0 above max->1, total=36568 (range=[0.1069, 1.0000]).
[2026-01-24 23:23:45] n=70: 5 below min->0, 0 above max->1, total=36453 (range=[0.1061, 1.0000]).
[2026-01-24 23:23:45] n=71: 7 below min->0, 0 above max->1, total=36763 (range=[0.1054, 1.0000]).
[2026-01-24 23:23:45] n=72: 6 below min->0, 0 above max->1, total=37049 (range=[0.1046, 1.0000]).
[2026-01-24 23:23:45] n=73: 8 below min->0, 0 above max->1, total=37119 (range=[0.1039, 1.0000]).
[2026-01-24 23:23:45] n=74: 6 below min->0, 0 above max->1, total=37167 (range=[0.1032, 1.0000]).
[2026-01-24 23:23:45] n=75: 7 below min->0, 0 above max->1, total=36977 (range=[0.1025, 1.0000]).
[2026-01-24 23:23:45] n=76: 10 below min->0, 0 above max->1, total=36968 (range=[0.1018, 1.0000]).
